percent;group
39.00;interphase
51.00;interphase
73.00;interphase
73.00;interphase
67.94;interphase
59.57;interphase
57.01;interphase
51.08;interphase
87.42;interphase
72.52;interphase
76.6;interphase
91.33;interphase
59.75;interphase
68.59;interphase
55.16;interphase
66.02;interphase
47.94;interphase
41.84;interphase
15.52;interphase
42.43;interphase high expression
48.57;interphase high expression
57.91;interphase high expression
68.41;interphase high expression
58.96;interphase high expression
70.21;interphase high expression
93.70;mitosis
87.80;mitosis
77.19;mitosis
100;mitosis